city;city_ibge_code;confirmed;confirmed_per_100k_inhabitants;date;death_rate;deaths;estimated_population_2019;is_last;place_type;state
Guarapuava;4109401;1;0,55095;2020-03-28;;0,0;181504,0;True;city;PR
Importados/Indefinidos;;4;;2020-03-28;;0,0;;True;city;PR
Iretama;4110805;1;9,83381;2020-03-28;;0,0;10169,0;True;city;PR
Londrina;4113700;5;0,8776;2020-03-28;;0,0;569733,0;True;city;PR
Maringá;4115200;7;1,65224;2020-03-28;0,2857;2,0;423666,0;True;city;PR
Mariópolis;4115309;1;15,12859;2020-03-28;;0,0;6610,0;True;city;PR
Paranavaí;4118402;2;2,26311;2020-03-28;;0,0;88374,0;True;city;PR
Pato Branco;4118501;2;2,4131;2020-03-28;;0,0;82881,0;True;city;PR
Pinhais;4119152;3;2,27003;2020-03-28;;0,0;132157,0;True;city;PR
Ponta Grossa;4119905;3;0,85291;2020-03-28;;0,0;351736,0;True;city;PR
Quatiguá;4120705;1;13,42462;2020-03-28;;0,0;7449,0;True;city;PR
Rio Negro;4122305;1;2,92654;2020-03-28;;0,0;34170,0;True;city;PR
Telêmaco Borba;4127106;1;1,26624;2020-03-28;;0,0;78974,0;True;city;PR
Umuarama;4128104;1;0,8964;2020-03-28;;0,0;111557,0;True;city;PR
União da Vitória;4128203;1;1,73862;2020-03-28;;0,0;57517,0;True;city;PR
;41;137;1,19819;2020-03-28;0,0146;2,0;11433957,0;True;state;PR
Macaíba;2407104;1;1,23775;2020-03-28;;;80792,0;True;city;RN
Monte Alegre;2407807;1;4,45414;2020-03-28;;;22451,0;True;city;RN
Mossoró;2408003;14;4,70781;2020-03-28;;;297378,0;True;city;RN
Natal;2408102;22;2,48834;2020-03-28;;;884122,0;True;city;RN
Parnamirim;2403251;6;2,29473;2020-03-28;;0,0;261469,0;True;city;RN
Passa e Fica;2409100;1;7,53182;2020-03-28;;;13277,0;True;city;RN
;24;45;1,2832;2020-03-28;;0,0;3506853,0;True;state;RN
Antônio Carlos;4201208;1;11,74674;2020-03-28;;0,0;8513,0;True;city;SC
Balneário Arroio do Silva;4201950;1;7,65052;2020-03-28;;0,0;13071,0;True;city;SC
Balneário Camboriú;4202008;9;6,32489;2020-03-28;;0,0;142295,0;True;city;SC
Blumenau;4202404;12;3,35947;2020-03-28;;0,0;357199,0;True;city;SC
Braço do Norte;4202800;12;35,87444;2020-03-28;;0,0;33450,0;True;city;SC
Brusque;4202909;2;1,48453;2020-03-28;;0,0;134723,0;True;city;SC
Camboriú;4203204;7;8,43485;2020-03-28;;0,0;82989,0;True;city;SC
Canelinha;4203709;1;8,16993;2020-03-28;;0,0;12240,0;True;city;SC
Chapecó;4204202;5;2,26894;2020-03-28;;0,0;220367,0;True;city;SC
Criciúma;4204608;13;6,04129;2020-03-28;;0,0;215186,0;True;city;SC
Florianópolis;4205407;30;5,98835;2020-03-28;;0,0;500973,0;True;city;SC
Gaspar;4205902;2;2,87195;2020-03-28;;0,0;69639,0;True;city;SC
Gravatal;4206207;3;26,08469;2020-03-28;;0,0;11501,0;True;city;SC
Içara;4207007;1;1,77239;2020-03-28;;0,0;56421,0;True;city;SC
Imbituba;4207304;5;11,14753;2020-03-28;;0,0;44853,0;True;city;SC
Importados/Indefinidos;;8;;2020-03-28;;0,0;;True;city;SC
Itajaí;4208203;18;8,19911;2020-03-28;;0,0;219536,0;True;city;SC
Itapema;4208302;1;1,53111;2020-03-28;;0,0;65312,0;True;city;SC
Jaguaruna;4208807;2;9,98801;2020-03-28;;0,0;20024,0;True;city;SC
Jaraguá do Sul;4208906;2;1,12551;2020-03-28;;0,0;177697,0;True;city;SC
Joinville;4209102;9;1,52422;2020-03-28;;0,0;590466,0;True;city;SC
Lages;4209300;1;0,63474;2020-03-28;;0,0;157544,0;True;city;SC
Laguna;4209409;1;2,18274;2020-03-28;;0,0;45814,0;True;city;SC
Navegantes;4211306;3;3,68211;2020-03-28;;0,0;81475,0;True;city;SC
Papanduva;4212205;2;10,35197;2020-03-28;;0,0;19320,0;True;city;SC
Pomerode;4213203;1;2,9898;2020-03-28;;0,0;33447,0;True;city;SC
Porto Belo;4213500;4;18,70208;2020-03-28;;0,0;21388,0;True;city;SC
Rancho Queimado;4214300;2;69,4927;2020-03-28;;0,0;2878,0;True;city;SC
São Francisco do Sul;4216206;1;1,89678;2020-03-28;;0,0;52721,0;True;city;SC
São José;4216602;9;3,64984;2020-03-28;0,1111;1,0;246586,0;True;city;SC
São Lourenço do Oeste;4216909;1;4,15351;2020-03-28;;0,0;24076,0;True;city;SC
São Ludgero;4217006;1;7,45712;2020-03-28;;0,0;13410,0;True;city;SC
São Pedro de Alcântara;4217253;1;17,17328;2020-03-28;;0,0;5823,0;True;city;SC
Siderópolis;4217600;2;14,27857;2020-03-28;;0,0;14007,0;True;city;SC
Tijucas;4218004;1;2,60369;2020-03-28;;0,0;38407,0;True;city;SC
Timbé do Sul;4218103;1;18,69858;2020-03-28;;0,0;5348,0;True;city;SC
Tubarão;4218707;8;7,56959;2020-03-28;;0,0;105686,0;True;city;SC
Urussanga;4219002;1;4,7019;2020-03-28;;0,0;21268,0;True;city;SC
;42;184;2,56812;2020-03-28;0,0054;1,0;7164788,0;True;state;SC
Rio Branco;1200401;25;6,1377;2020-03-27;;0,0;407319,0;True;city;AC
;12;25;2,83468;2020-03-27;;0,0;881935,0;True;state;AC
Maceió;2704302;11;1,07954;2020-03-27;;;1018948,0;True;city;AL
Porto Real do Colégio;2707503;1;4,98355;2020-03-27;;;20066,0;True;city;AL
;27;12;0,35957;2020-03-27;;;3337357,0;True;state;AL
Boca do Acre;1300706;1;2,91477;2020-03-27;;;34308,0;True;city;AM
Manacapuru;1302504;2;2,05387;2020-03-27;;;97377,0;True;city;AM
Manaus;1302603;75;3,43601;2020-03-27;;;2182763,0;True;city;AM
Parintins;1303403;2;1,75019;2020-03-27;0,5;1,0;114273,0;True;city;AM
Santo Antônio do Içá;1303700;1;4,6292;2020-03-27;;;21602,0;True;city;AM
;13;81;1,95435;2020-03-27;0,0123;1,0;4144597,0;True;state;AM
Macapá;1600303;3;0,59603;2020-03-27;;0,0;503327,0;False;city;AP
;16;3;0,35472;2020-03-27;;0,0;845731,0;False;state;AP
Alagoinhas;2900702;1;0,65965;2020-03-27;;0,0;151596,0;True;city;BA
Barreiras;2903201;1;0,64334;2020-03-27;;0,0;155439,0;True;city;BA
Brumado;2904605;1;1,48821;2020-03-27;;0,0;67195,0;True;city;BA
Camaçari;2905701;1;0,3343;2020-03-27;;0,0;299132,0;True;city;BA
Canarana;2906204;1;3,82029;2020-03-27;;0,0;26176,0;True;city;BA
Conceição do Jacuípe;2908507;1;3,01632;2020-03-27;;0,0;33153,0;True;city;BA
Conde;2908606;1;3,87042;2020-03-27;;0,0;25837,0;True;city;BA
Feira de Santana;2910800;9;1,46372;2020-03-27;;0,0;614872,0;True;city;BA
Ilhéus;2913606;2;1,23208;2020-03-27;;0,0;162327,0;True;city;BA
Importados/Indefinidos;;0;;2020-03-27;;0,0;;True;city;BA
Ipiaú;2913903;1;2,17993;2020-03-27;;0,0;45873,0;True;city;BA
Itabuna;2914802;2;0,93799;2020-03-27;;0,0;213223,0;True;city;BA
Jequié;2918001;1;0,64117;2020-03-27;;0,0;155966,0;True;city;BA
Juazeiro;2918407;2;0,92291;2020-03-27;;0,0;216707,0;True;city;BA
Lauro de Freitas;2919207;7;3,52751;2020-03-27;;0,0;198440,0;True;city;BA
Porto Seguro;2925303;10;6,72558;2020-03-27;;0,0;148686,0;True;city;BA
Prado;2925501;2;7,09874;2020-03-27;;0,0;28174,0;True;city;BA
Salvador;2927408;78;2,71555;2020-03-27;;0,0;2872347,0;True;city;BA
São Domingos;2928950;1;11,03996;2020-03-27;;0,0;9058,0;True;city;BA
Teixeira de Freitas;2931350;1;0,6231;2020-03-27;;0,0;160487,0;True;city;BA
;29;123;0,827;2020-03-27;;0,0;14873064,0;True;state;BA
Aquiraz;2301000;6;7,47468;2020-03-27;;0,0;80271,0;True;city;CE
Fortaleza;2304400;268;10,03993;2020-03-27;0,0112;3,0;2669342,0;True;city;CE
Fortim;2304459;1;6,06796;2020-03-27;;0,0;16480,0;True;city;CE
Importados/Indefinidos;;0;;2020-03-27;;0,0;;True;city;CE
Juazeiro do Norte;2307304;1;0,36469;2020-03-27;;0,0;274207,0;True;city;CE
Maranguape;2307700;1;0,77533;2020-03-27;;0,0;128978,0;True;city;CE
Mauriti;2308104;1;2,08498;2020-03-27;;0,0;47962,0;True;city;CE
Sobral;2312908;4;1,91447;2020-03-27;;0,0;208935,0;True;city;CE
;23;282;3,08802;2020-03-27;0,0106;3,0;9132078,0;True;state;CE
Brasília;5300108;242;8,02582;2020-03-27;0,0041;1,0;3015268,0;True;city;DF
;53;242;8,02582;2020-03-27;0,0041;1,0;3015268,0;True;state;DF
Cachoeiro de Itapemirim;3201209;1;0,47853;2020-03-27;;0,0;208972,0;True;city;ES
Cariacica;3201308;1;0,26227;2020-03-27;;0,0;381285,0;True;city;ES
Castelo;3201407;1;2,66425;2020-03-27;;0,0;37534,0;True;city;ES
Importados/Indefinidos;;1;;2020-03-27;;0,0;;True;city;ES
Linhares;3203205;4;2,30474;2020-03-27;;0,0;173555,0;True;city;ES
Santa Teresa;3204609;1;4,23908;2020-03-27;;0,0;23590,0;True;city;ES
São Roque do Canaã;3204955;1;8,05477;2020-03-27;;0,0;12415,0;True;city;ES
Serra;3205002;5;0,96616;2020-03-27;;0,0;517510,0;True;city;ES
Vila Velha;3205200;21;4,25241;2020-03-27;;0,0;493838,0;True;city;ES
Vitória;3205309;18;4,97104;2020-03-27;;0,0;362097,0;True;city;ES
;32;54;1,34373;2020-03-27;;0,0;4018650,0;True;state;ES
Anápolis;5201108;3;0,77535;2020-03-27;;0,0;386923,0;True;city;GO
Aparecida de Goiânia;5201405;2;0,34591;2020-03-27;;0,0;578179,0;True;city;GO
Catalão;5205109;1;0,91892;2020-03-27;;0,0;108823,0;True;city;GO
Goiânia;5208707;26;1,71491;2020-03-27;;0,0;1516113,0;True;city;GO
Hidrolândia;5209705;1;4,60702;2020-03-27;;0,0;21706,0;True;city;GO
Importados/Indefinidos;;5;;2020-03-27;;0,0;;True;city;GO
Jataí;5211909;1;0,99126;2020-03-27;;0,0;100882,0;True;city;GO
Luziânia;5212501;1;0,48008;2020-03-27;1,0;1,0;208299,0;True;city;GO
Rio Verde;5218805;6;2,54618;2020-03-27;;0,0;235647,0;True;city;GO
Silvânia;5220603;1;4,83209;2020-03-27;;0,0;20695,0;True;city;GO
Valparaíso de Goiás;5221858;2;1,18717;2020-03-27;;0,0;168468,0;True;city;GO
;52;49;0,69817;2020-03-27;0,0204;1,0;7018354,0;True;state;GO
São Luís;2111300;13;1,1798;2020-03-27;;0,0;1101884,0;True;city;MA
;21;13;0,18374;2020-03-27;;0,0;7075181,0;True;state;MA
Belo Horizonte;3106200;118;4,69732;2020-03-27;;0,0;2512070,0;False;city;MG
Betim;3106705;4;0,91046;2020-03-27;;0,0;439340,0;False;city;MG
Boa Esperança;3107109;1;2,49209;2020-03-27;;0,0;40127,0;False;city;MG
Bom Despacho;3107406;1;1,97609;2020-03-27;;0,0;50605,0;False;city;MG
Campo Belo;3111200;1;1,85086;2020-03-27;;0,0;54029,0;False;city;MG
Campos Altos;3111507;1;6,46789;2020-03-27;;0,0;15461,0;False;city;MG
Carmo do Cajuru;3114204;1;4,44879;2020-03-27;;0,0;22478,0;False;city;MG
Contagem;3118601;3;0,45191;2020-03-27;;0,0;663855,0;False;city;MG
Coronel Fabriciano;3119401;1;0,91029;2020-03-27;;0,0;109855,0;False;city;MG
Divinópolis;3122306;5;2,09881;2020-03-27;;0,0;238230,0;False;city;MG
Governador Valadares;3127701;1;0,35729;2020-03-27;;0,0;279885,0;False;city;MG
Guimarânia;3128907;1;12,43936;2020-03-27;;0,0;8039,0;False;city;MG
Importados/Indefinidos;;5;;2020-03-27;;0,0;;False;city;MG
Ipatinga;3131307;1;0,37964;2020-03-27;;0,0;263410,0;False;city;MG
Juiz de Fora;3136702;11;1,93365;2020-03-27;;0,0;568873,0;False;city;MG
Lagoa da Prata;3137205;2;3,83399;2020-03-27;;0,0;52165,0;False;city;MG
Mariana;3140001;2;3,29359;2020-03-27;;0,0;60724,0;False;city;MG
Nova Lima;3144805;13;13,70022;2020-03-27;;0,0;94889,0;False;city;MG
Patrocínio;3148103;1;1,10184;2020-03-27;;0,0;90757,0;False;city;MG
Poços de Caldas;3151800;1;0,59738;2020-03-27;;0,0;167397,0;False;city;MG
Sabará;3156700;1;0,73344;2020-03-27;;0,0;136344,0;False;city;MG
São João del Rei;3162500;1;1,1101;2020-03-27;;0,0;90082,0;False;city;MG
Sete Lagoas;3167202;2;0,83459;2020-03-27;;0,0;239639,0;False;city;MG
Timóteo;3168705;1;1,11307;2020-03-27;;0,0;89842,0;False;city;MG
Uberaba;3170107;3;0,89879;2020-03-27;;0,0;333783,0;False;city;MG
Uberlândia;3170206;7;1,01258;2020-03-27;;0,0;691305,0;False;city;MG
;31;189;0,89282;2020-03-27;;0,0;21168791,0;False;state;MG
Batayporã;5002001;1;8,8269;2020-03-27;;0,0;11329,0;True;city;MS
Campo Grande;5002704;24;2,67863;2020-03-27;;0,0;895982,0;True;city;MS
Ponta Porã;5006606;1;1,08078;2020-03-27;;0,0;92526,0;True;city;MS
Rio Verde de Mato Grosso;5007406;1;5,06432;2020-03-27;;0,0;19746,0;True;city;MS
Sidrolândia;5007901;1;1,73415;2020-03-27;;0,0;57665,0;True;city;MS
;50;28;1,00756;2020-03-27;;0,0;2778986,0;True;state;MS
Cuiabá;5103403;8;1,30602;2020-03-27;;0,0;612547,0;True;city;MT
Nova Monte Verde;5108956;1;10,89562;2020-03-27;;0,0;9178,0;True;city;MT
Várzea Grande;5108402;2;0,70183;2020-03-27;;0,0;284971,0;True;city;MT
;51;11;0,31569;2020-03-27;;0,0;3484466,0;True;state;MT
Ananindeua;1500800;4;0,75387;2020-03-27;;0,0;530598,0;True;city;PA
Belém;1501402;9;0,60292;2020-03-27;;0,0;1492745,0;True;city;PA
Castanhal;1502400;1;0,49803;2020-03-27;;0,0;200793,0;True;city;PA
Itaituba;1503606;1;0,98768;2020-03-27;;0,0;101247,0;True;city;PA
Marabá;1504208;1;0,35798;2020-03-27;;0,0;279349,0;True;city;PA
;15;16;0,18598;2020-03-27;;0,0;8602865,0;True;state;PA
Campina Grande;2504009;1;0,24406;2020-03-27;;;409731,0;False;city;PB
Igaracy;2502607;1;16,34788;2020-03-27;;;6117,0;False;city;PB
João Pessoa;2507507;7;0,86525;2020-03-27;;0,0;809015,0;False;city;PB
Sousa;2516201;1;1,44001;2020-03-27;;;69444,0;False;city;PB
;25;10;0,24887;2020-03-27;;0,0;4018127,0;False;state;PB
Belo Jardim;2601706;1;1,30823;2020-03-27;;;76439,0;False;city;PE
Camaragibe;2603454;1;0,6336;2020-03-27;;;157828,0;False;city;PE
Caruaru;2604106;1;0,27692;2020-03-27;;;361118,0;False;city;PE
Fernando de Noronha;2605459;1;32,66906;2020-03-27;;;3061,0;False;city;PE
Goiana;2606200;1;1,25379;2020-03-27;;;79758,0;False;city;PE
Importados/Indefinidos;;5;;2020-03-27;0,2;1,0;;False;city;PE
Jaboatão dos Guararapes;2607901;4;0,56956;2020-03-27;;;702298,0;False;city;PE
Olinda;2609600;3;0,76437;2020-03-27;;;392482,0;False;city;PE
Petrolina;2611101;2;0,57283;2020-03-27;;;349145,0;False;city;PE
Recife;2611606;38;2,30901;2020-03-27;0,0789;3,0;1645727,0;False;city;PE
;26;57;0,59642;2020-03-27;0,0702;4,0;9557071,0;False;state;PE
Teresina;2211001;9;1,04065;2020-03-27;;0,0;864845,0;False;city;PI
;22;10;0,30551;2020-03-27;0,1;1,0;3273227,0;False;state;PI
Campo Largo;4104204;1;0,75756;2020-03-27;;0,0;132002,0;False;city;PR
Campo Mourão;4104303;2;2,10839;2020-03-27;;0,0;94859,0;False;city;PR
Cascavel;4104808;5;1,52228;2020-03-27;;0,0;328454,0;False;city;PR
Cianorte;4105508;7;8,47252;2020-03-27;;0,0;82620,0;False;city;PR
Colombo;4105805;2;0,82059;2020-03-27;;0,0;243726,0;False;city;PR
Curitiba;4106902;71;3,67285;2020-03-27;;0,0;1933105,0;False;city;PR
Faxinal;4107603;1;5,79677;2020-03-27;;0,0;17251,0;False;city;PR
Foz do Iguaçu;4108304;5;1,934;2020-03-27;;0,0;258532,0;False;city;PR
Guaíra;4108809;2;6,03883;2020-03-27;;0,0;33119,0;False;city;PR
Guarapuava;4109401;1;0,55095;2020-03-27;;0,0;181504,0;False;city;PR
Importados/Indefinidos;;4;;2020-03-27;;0,0;;False;city;PR
Iretama;4110805;1;9,83381;2020-03-27;;0,0;10169,0;False;city;PR
Londrina;4113700;3;0,52656;2020-03-27;;0,0;569733,0;False;city;PR
Maringá;4115200;7;1,65224;2020-03-27;0,2857;2,0;423666,0;False;city;PR
Paranavaí;4118402;1;1,13155;2020-03-27;;0,0;88374,0;False;city;PR
Pato Branco;4118501;2;2,4131;2020-03-27;;0,0;82881,0;False;city;PR
Pinhais;4119152;3;2,27003;2020-03-27;;0,0;132157,0;False;city;PR
Ponta Grossa;4119905;3;0,85291;2020-03-27;;0,0;351736,0;False;city;PR
Rio Negro;4122305;1;2,92654;2020-03-27;;0,0;34170,0;False;city;PR
Telêmaco Borba;4127106;1;1,26624;2020-03-27;;0,0;78974,0;False;city;PR
Umuarama;4128104;1;0,8964;2020-03-27;;0,0;111557,0;False;city;PR
União da Vitória;4128203;1;1,73862;2020-03-27;;0,0;57517,0;False;city;PR
;41;125;1,09323;2020-03-27;0,016;2,0;11433957,0;False;state;PR
Barra Mansa;3300407;1;0,54226;2020-03-27;;0,0;184412,0;True;city;RJ
Belford Roxo;3300456;1;0,19573;2020-03-27;;0,0;510906,0;True;city;RJ
Campos dos Goytacazes;3301009;1;0,19703;2020-03-27;;0,0;507548,0;True;city;RJ
Duque de Caxias;3301702;3;0,32623;2020-03-27;;0,0;919596,0;True;city;RJ
Guapimirim;3301850;1;1,65243;2020-03-27;;0,0;60517,0;True;city;RJ
Importados/Indefinidos;;0;;2020-03-27;;0,0;;True;city;RJ
Itaboraí;3301900;1;0,41564;2020-03-27;;0,0;240592,0;True;city;RJ
Miguel Pereira;3302908;1;3,91573;2020-03-27;1,0;1,0;25538,0;True;city;RJ
Niterói;3303302;36;7,00956;2020-03-27;0,0278;1,0;513584,0;True;city;RJ
Petrópolis;3303906;3;0,97978;2020-03-27;0,3333;1,0;306191,0;True;city;RJ
Resende;3304201;0;;2020-03-27;;0,0;131341,0;True;city;RJ
Rio de Janeiro;3304557;431;6,41474;2020-03-27;0,0139;6,0;6718903,0;True;city;RJ
São Gonçalo;3304904;4;0,36872;2020-03-27;;0,0;1084839,0;True;city;RJ
Valença;3306107;1;1,3068;2020-03-27;;0,0;76523,0;True;city;RJ
Volta Redonda;3306305;9;3,29656;2020-03-27;0,1111;1,0;273012,0;True;city;RJ
;33;493;2,8555;2020-03-27;0,0203;10,0;17264943,0;True;state;RJ
Mossoró;2408003;5;1,68136;2020-03-27;;0,0;297378,0;False;city;RN
Natal;2408102;19;2,14902;2020-03-27;;0,0;884122,0;False;city;RN
Parnamirim;2403251;4;1,52982;2020-03-27;;0,0;261469,0;False;city;RN
;24;28;0,79844;2020-03-27;;0,0;3506853,0;False;state;RN
Ji-Paraná;1100122;1;0,77538;2020-03-27;;0,0;128969,0;True;city;RO
Porto Velho;1100205;5;0,94421;2020-03-27;;0,0;529544,0;True;city;RO
;11;6;0,3376;2020-03-27;;0,0;1777225,0;True;state;RO
Boa Vista;1400100;9;2,25444;2020-03-27;;0,0;399213,0;True;city;RR
Bonfim;1400159;3;24,176;2020-03-27;;0,0;12409,0;True;city;RR
;14;12;1,98098;2020-03-27;;0,0;605761,0;True;state;RR
Alvorada;4300604;2;0,951;2020-03-27;;0,0;210305,0;True;city;RS
Anta Gorda;4300703;2;33,43922;2020-03-27;;0,0;5981,0;True;city;RS
Bagé;4301602;9;7,42924;2020-03-27;;0,0;121143,0;True;city;RS
Bento Gonçalves;4302105;2;1,66038;2020-03-27;;0,0;120454,0;True;city;RS
Cachoeira do Sul;4303004;1;1,21653;2020-03-27;;0,0;82201,0;True;city;RS
Campo Bom;4303905;2;2,99796;2020-03-27;;0,0;66712,0;True;city;RS
Canoas;4304606;7;2,01953;2020-03-27;;0,0;346616,0;True;city;RS
Capão da Canoa;4304630;2;3,7701;2020-03-27;;0,0;53049,0;True;city;RS
Carlos Barbosa;4304804;1;3,35199;2020-03-27;;0,0;29833,0;True;city;RS
Caxias do Sul;4305108;6;1,17438;2020-03-27;;0,0;510906,0;True;city;RS
Cerro Grande do Sul;4305173;1;8,1706;2020-03-27;;0,0;12239,0;True;city;RS
Charqueadas;4305355;1;2,45164;2020-03-27;;0,0;40789,0;True;city;RS
Cruzeiro do Sul;4306205;1;8,09848;2020-03-27;;0,0;12348,0;True;city;RS
Dois Irmãos;4306403;1;3,06082;2020-03-27;;0,0;32671,0;True;city;RS
Dom Pedrito;4306601;1;2,60004;2020-03-27;;0,0;38461,0;True;city;RS
Eldorado do Sul;4306767;1;2,42219;2020-03-27;;0,0;41285,0;True;city;RS
Erechim;4307005;3;2,83388;2020-03-27;;0,0;105862,0;True;city;RS
Estância Velha;4307609;2;3,99824;2020-03-27;;0,0;50022,0;True;city;RS
Estrela;4307807;1;2,93118;2020-03-27;;0,0;34116,0;True;city;RS
Farroupilha;4307906;1;1,38253;2020-03-27;;0,0;72331,0;True;city;RS
Garibaldi;4308607;1;2,85144;2020-03-27;;0,0;35070,0;True;city;RS
Gravataí;4309209;1;0,35522;2020-03-27;;0,0;281519,0;True;city;RS
Ivoti;4310801;2;8,23282;2020-03-27;;0,0;24293,0;True;city;RS
Lajeado;4311403;5;5,95139;2020-03-27;;0,0;84014,0;True;city;RS
Marau;4311809;1;2,26444;2020-03-27;;0,0;44161,0;True;city;RS
Nova Palma;4313102;1;15,35627;2020-03-27;;0,0;6512,0;True;city;RS
Osório;4313508;1;2,1742;2020-03-27;;0,0;45994,0;True;city;RS
Paraí;4314001;1;13,05995;2020-03-27;;0,0;7657,0;True;city;RS
Passo Fundo;4314100;1;0,49194;2020-03-27;;0,0;203275,0;True;city;RS
Pelotas;4314407;2;0,5841;2020-03-27;;0,0;342405,0;True;city;RS
Piratini;4314605;1;4,83957;2020-03-27;;0,0;20663,0;True;city;RS
Porto Alegre;4314902;107;7,21136;2020-03-27;0,0187;2,0;1483771,0;True;city;RS
Rio Grande;4315602;2;0,94784;2020-03-27;;0,0;211005,0;True;city;RS
Rolante;4316006;1;4,68406;2020-03-27;;0,0;21349,0;True;city;RS
Santa Maria;4316907;2;0,70891;2020-03-27;;0,0;282123,0;True;city;RS
